url,title,year,genre,gross_usa,budget,worldwide_gross,pg_rated,rating,rating_pop
https://www.imdb.com/title/tt0102926/,The Silence of the Lambs,1991,"['Crime', 'Drama', 'Thriller']","$130,742,922","$19,000,000","$272,753,884",,8.6,"1,223,311"
https://www.imdb.com/title/tt0101540/,Cape Fear,1991,"['Crime', 'Thriller']","$79,091,969","$35,000,000","$182,291,969",R,7.3,"166,879"
https://www.imdb.com/title/tt0103064/,Terminator 2: Judgment Day,1991,"['Action', 'Sci-Fi']","$205,881,154","$102,000,000","$520,884,847",R,8.5,"968,411"
https://www.imdb.com/title/tt0102685/,Point Break,1991,"['Action', 'Crime', 'Thriller']","$43,218,387","$24,000,000","$83,531,958",R,7.3,"151,168"
https://www.imdb.com/title/tt0102057/,Hook,1991,"['Adventure', 'Comedy', 'Family', 'Fantasy']","$119,654,823","$70,000,000","$300,854,823",,6.8,"227,836"
https://www.imdb.com/title/tt0102798/,Robin Hood: Prince of Thieves,1991,"['Action', 'Adventure', 'Drama', 'Romance']","$165,493,908","$48,000,000","$390,493,908",,6.9,"173,922"
https://www.imdb.com/title/tt0103074/,Thelma & Louise,1991,"['Adventure', 'Crime', 'Drama']","$45,360,915","$16,500,000","$45,434,805",R,7.5,"131,479"
https://www.imdb.com/title/tt0101507/,Boyz n the Hood,1991,"['Crime', 'Drama']","$57,504,069","$6,500,000","$57,529,070",R,7.7,"120,507"
https://www.imdb.com/title/tt0101272/,The Addams Family,1991,"['Comedy', 'Fantasy']","$113,502,426","$30,000,000","$191,502,426",,6.9,"125,971"
https://www.imdb.com/title/tt0101414/,Beauty and the Beast,1991,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']","$218,967,620","$25,000,000","$440,118,382",,8.0,"408,582"
https://www.imdb.com/title/tt0101587/,City Slickers,1991,"['Comedy', 'Western']","$124,033,791","$27,000,000","$179,033,791",,6.7,"46,793"
https://www.imdb.com/title/tt0102492/,My Girl,1991,"['Comedy', 'Drama', 'Family', 'Romance']","$59,489,799","$17,000,000","$59,489,799",,6.9,"70,006"
https://www.imdb.com/title/tt0102266/,The Last Boy Scout,1991,"['Action', 'Comedy', 'Crime', 'Thriller']","$59,509,925","$29,000,000","$59,509,925",R,7.0,"90,582"
https://www.imdb.com/title/tt0102059/,Hot Shots!,1991,"['Action', 'Comedy']","$69,467,617","$26,000,000","$181,096,164",,6.8,"96,665"
https://www.imdb.com/title/tt0102803/,The Rocketeer,1991,"['Action', 'Adventure', 'Family', 'Sci-Fi']","$46,704,056","$35,000,000","$46,704,056",,6.5,"51,627"
https://www.imdb.com/title/tt0101410/,Barton Fink,1991,"['Comedy', 'Drama', 'Thriller']","$6,153,939","$9,000,000","$6,153,939",R,7.7,"110,053"
https://www.imdb.com/title/tt0101921/,Fried Green Tomatoes,1991,['Drama'],"$82,418,501","$11,000,000","$119,418,501",,7.7,"64,921"
https://www.imdb.com/title/tt0101545/,Career Opportunities,1991,"['Comedy', 'Romance']","$11,336,986",,"$11,336,986",,5.9,"10,082"
https://www.imdb.com/title/tt0102494/,My Own Private Idaho,1991,['Drama'],"$6,401,336","$2,500,000","$6,401,336",R,7.1,"48,429"
https://www.imdb.com/title/tt0102138/,JFK,1991,"['Drama', 'History', 'Thriller']","$70,405,498","$40,000,000","$205,405,498",R,8.0,"137,417"
https://www.imdb.com/title/tt0101393/,Backdraft,1991,"['Crime', 'Drama', 'Mystery', 'Thriller']","$77,868,585","$40,000,000","$152,368,585",R,6.7,"69,549"
https://www.imdb.com/title/tt0101862/,Father of the Bride,1991,"['Comedy', 'Family', 'Romance']","$89,325,780",,"$89,325,780",,6.5,"66,638"
