,url,title,year,genre,gross_usa,budget,worldwide_gross,pg_rated,rating,rating_pop
46,https://www.imdb.com/title/tt0053925/,House of Usher,1960,"['Drama', 'Horror']",,"$200,000",,,7.0,"11,465"
47,https://www.imdb.com/title/tt0054022/,Let's Make Love,1960,"['Comedy', 'Musical', 'Romance']",,"$3,585,000",,,6.5,"6,447"
48,https://www.imdb.com/title/tt0054389/,Shoot the Piano Player,1960,"['Crime', 'Drama', 'Thriller']","$21,124",,"$21,124",,7.5,"16,892"
49,https://www.imdb.com/title/tt0053882/,The 3 Worlds of Gulliver,1960,"['Adventure', 'Family', 'Fantasy']",,,,,6.5,"2,313"
50,https://www.imdb.com/title/tt0053900/,Hell Is a City,1960,"['Crime', 'Thriller']",,"GBP115,000",,,7.1,924
51,https://www.imdb.com/title/tt0054353/,The Sundowners,1960,"['Adventure', 'Drama']",,,,,7.1,"3,669"
52,https://www.imdb.com/title/tt0054198/,Never on Sunday,1960,"['Comedy', 'Drama', 'Romance']",,"$151,000",,,7.4,"5,065"
53,https://www.imdb.com/title/tt0053947/,Inn for Trouble,1960,['Comedy'],,,,,6.0,158
54,https://www.imdb.com/title/tt0154683/,Jigoku,1960,"['Drama', 'Horror']",,,,,6.8,"3,253"
55,https://www.imdb.com/title/tt0053877/,The Grass Is Greener,1960,"['Comedy', 'Drama', 'Romance']","$6,000,000",,,,6.5,"4,325"
56,https://www.imdb.com/title/tt0053715/,Cimarron,1960,"['Drama', 'Romance', 'Western']",,"$5,421,000",,,6.4,"2,558"
57,https://www.imdb.com/title/tt0054333/,Horrors of Spider Island,1960,['Horror'],,,,,2.5,"3,502"
58,https://www.imdb.com/title/tt0053716/,Cinderfella,1960,"['Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",,"$3,000,000",,,6.0,"3,011"
59,https://www.imdb.com/title/tt0054460/,The Bad Sleep Well,1960,"['Crime', 'Drama', 'Thriller']","$46,808",,"$46,808",,8.0,"10,468"
60,https://www.imdb.com/title/tt0054084/,Midnight Lace,1960,"['Drama', 'Mystery', 'Thriller']","$7,400,000",,,,6.8,"4,382"
