url,title,year,genre,gross_usa,budget,worldwide_gross,pg_rated,rating,rating_pop
https://www.imdb.com/title/tt1454029/,The Help,2011,['Drama'],"$169,708,112","$25,000,000","$216,639,112",PG-13,8.1,"416,686"
https://www.imdb.com/title/tt0458339/,Captain America: The First Avenger,2011,"['Action', 'Adventure', 'Sci-Fi']","$176,654,505","$140,000,000","$370,569,774",PG-13,6.9,"718,842"
https://www.imdb.com/title/tt1201607/,Harry Potter and the Deathly Hallows: Part 2,2011,"['Adventure', 'Drama', 'Fantasy', 'Mystery']","$381,409,310","$125,000,000","$1,361,834,941",PG-13,8.1,"737,564"
https://www.imdb.com/title/tt1229238/,Mission: Impossible - Ghost Protocol,2011,"['Action', 'Adventure', 'Thriller']","$209,397,903","$145,000,000","$694,713,380",PG-13,7.4,"447,065"
https://www.imdb.com/title/tt0993842/,Hanna,2011,"['Action', 'Drama', 'Thriller']","$40,259,119","$30,000,000","$63,782,078",PG-13,6.8,"186,816"
https://www.imdb.com/title/tt0978764/,Sucker Punch,2011,"['Action', 'Adventure', 'Fantasy']","$36,392,502","$82,000,000","$89,792,502",PG-13,6.0,"226,031"
https://www.imdb.com/title/tt1564367/,Just Go with It,2011,"['Comedy', 'Romance']","$103,028,109","$80,000,000","$214,945,591",PG-13,6.4,"215,394"
https://www.imdb.com/title/tt1598778/,Contagion,2011,"['Action', 'Drama', 'Thriller']","$75,658,097","$60,000,000","$136,515,867",PG-13,6.7,"271,009"
https://www.imdb.com/title/tt1259521/,The Cabin in the Woods,2011,['Horror'],"$42,073,277","$30,000,000","$94,348,403",R,7.0,"363,468"
https://www.imdb.com/title/tt0800369/,Thor,2011,"['Action', 'Adventure', 'Fantasy']","$181,030,624","$150,000,000","$449,326,618",PG-13,7.0,"726,681"
https://www.imdb.com/title/tt1605783/,Midnight in Paris,2011,"['Comedy', 'Fantasy', 'Romance']","$56,817,045","$17,000,000","$153,959,590",PG-13,7.7,"376,511"
https://www.imdb.com/title/tt1189340/,The Lincoln Lawyer,2011,"['Crime', 'Drama', 'Thriller']","$58,009,200","$40,000,000","$86,752,352",R,7.3,"207,974"
https://www.imdb.com/title/tt1650062/,Super 8,2011,"['Mystery', 'Sci-Fi', 'Thriller']","$127,004,179","$50,000,000","$260,095,986",PG-13,7.0,"332,847"
https://www.imdb.com/title/tt1723811/,Shame,2011,['Drama'],"$3,909,002","$6,500,000","$19,123,767",NC-17,7.2,"179,037"
https://www.imdb.com/title/tt0780504/,Drive,2011,"['Crime', 'Drama']","$35,061,555","$15,000,000","$76,976,666",R,7.8,"554,516"
https://www.imdb.com/title/tt1270798/,X: First Class,2011,"['Action', 'Adventure', 'Sci-Fi']","$146,408,305","$160,000,000","$352,616,690",PG-13,7.7,"634,106"
https://www.imdb.com/title/tt1568346/,The Girl with the Dragon Tattoo,2011,"['Crime', 'Drama', 'Mystery', 'Thriller']","$102,515,793","$90,000,000","$232,617,430",R,7.8,"408,962"
https://www.imdb.com/title/tt1570728/,"Crazy, Stupid, Love",2011,"['Comedy', 'Drama', 'Romance']","$84,351,197","$50,000,000","$145,051,197",PG-13,7.4,"459,888"
https://www.imdb.com/title/tt1486185/,Red Riding Hood,2011,"['Fantasy', 'Horror', 'Mystery', 'Romance', 'Thriller']","$37,662,162","$42,000,000","$90,260,376",PG-13,5.5,"106,169"
