url,title,year,genre,gross_usa,budget,worldwide_gross,pg_rated,rating,rating_pop
https://www.imdb.com/title/tt0082971/,Raiders of the Lost Ark,1981,"['Action', 'Adventure']","$248,159,971","$18,000,000","$390,133,212",,8.4,"859,438"
https://www.imdb.com/title/tt0082398/,For Your Eyes Only,1981,"['Action', 'Adventure', 'Thriller']","$54,812,802","$28,000,000","$54,812,802",,6.8,"89,173"
https://www.imdb.com/title/tt0082186/,Clash of the Titans,1981,"['Action', 'Adventure', 'Family', 'Fantasy']","$41,092,328","$15,000,000","$41,092,328",,6.9,"39,506"
https://www.imdb.com/title/tt0082340/,Escape from New York,1981,"['Action', 'Adventure', 'Sci-Fi']","$25,244,626","$6,000,000","$25,244,626",,7.2,"121,280"
https://www.imdb.com/title/tt0083907/,The Evil Dead,1981,['Horror'],"$2,400,000","$350,000","$2,893,091",NC-17,7.5,"180,934"
https://www.imdb.com/title/tt0082096/,Das Boot,1981,"['Adventure', 'Drama', 'Thriller', 'War']","$11,487,676","DEM32,000,000","$11,487,676",R,8.3,"224,414"
https://www.imdb.com/title/tt0082010/,An American Werewolf in London,1981,"['Comedy', 'Horror']","$30,565,292","$10,000,000","$30,565,292",,7.5,"88,557"
https://www.imdb.com/title/tt0082694/,Mad Max 2: The Road Warrior,1981,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']","$23,667,907","$3,000,000","$23,667,907",,7.6,"162,374"
https://www.imdb.com/title/tt0084522/,Porky's,1981,['Comedy'],"$111,289,673","$2,500,000","$111,289,673",,6.2,"36,988"
https://www.imdb.com/title/tt0083131/,Stripes,1981,"['Comedy', 'War']","$85,297,000","$10,000,000","$85,297,000",R,6.9,"63,330"
https://www.imdb.com/title/tt0082348/,Excalibur,1981,"['Adventure', 'Drama', 'Fantasy', 'Romance']","$34,967,437","$11,000,000","$34,971,136",,7.4,"55,923"
https://www.imdb.com/title/tt0082933/,Possession,1981,"['Drama', 'Horror']","$1,113,538",,"$1,113,538",,7.4,"23,445"
https://www.imdb.com/title/tt0082118/,The Burning,1981,['Horror'],,"$1,500,000",,,6.4,"14,969"
https://www.imdb.com/title/tt0082136/,The Cannonball Run,1981,"['Action', 'Comedy', 'Sport']","$72,179,579","$18,000,000","$72,179,579",,6.3,"32,184"
https://www.imdb.com/title/tt0082766/,Mommie Dearest,1981,"['Biography', 'Drama']","$19,032,261","$5,000,000","$19,032,261",,6.7,"13,882"
https://www.imdb.com/title/tt0081633/,Time Bandits,1981,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']","$42,365,581","$5,000,000","$42,368,025",,7.0,"56,615"
https://www.imdb.com/title/tt0082158/,Chariots of Fire,1981,"['Biography', 'Drama', 'Sport']","$58,972,904","$5,500,000","$59,303,359",,7.2,"52,930"
https://www.imdb.com/title/tt0082089/,Body Heat,1981,"['Crime', 'Drama', 'Romance', 'Thriller']","$24,058,838",,"$24,058,838",,7.4,"29,869"
https://www.imdb.com/title/tt0082517/,History of the World: Part I,1981,"['Comedy', 'History', 'Musical']","$31,672,907","$11,000,000","$31,672,907",,6.9,"44,778"
https://www.imdb.com/title/tt0082329/,Endless Love,1981,"['Drama', 'Romance']","$31,184,024",,"$32,492,674",,4.9,"6,953"
https://www.imdb.com/title/tt0082406/,The Fox and the Hound,1981,"['Animation', 'Adventure', 'Drama', 'Family']","$63,456,988","$12,000,000","$63,456,988",,7.3,"82,168"
https://www.imdb.com/title/tt0082418/,Friday the 13th Part 2,1981,"['Horror', 'Mystery', 'Thriller']","$21,722,776","$1,250,000","$21,722,776",,6.1,"56,476"
https://www.imdb.com/title/tt0082509/,Heavy Metal,1981,"['Animation', 'Adventure', 'Fantasy', 'Sci-Fi']","$546,545","$9,300,000","$546,545",,6.7,"30,580"
https://www.imdb.com/title/tt0081455/,Scanners,1981,"['Horror', 'Sci-Fi', 'Thriller']","$14,225,876","CAD4,100,000","$14,225,876",,6.8,"46,259"
https://www.imdb.com/title/tt0082783/,My Dinner with Andre,1981,"['Biography', 'Comedy', 'Drama']","$5,073",,"$5,073",,7.8,"17,393"
https://www.imdb.com/title/tt0082085/,Blow Out,1981,"['Mystery', 'Thriller']","$12,000,000","$18,000,000","$12,000,000",,7.4,"42,124"
https://www.imdb.com/title/tt0082495/,Halloween II,1981,['Horror'],"$25,533,818","$2,500,000","$25,533,818",,6.5,"71,834"
https://www.imdb.com/title/tt0082533/,The Howling,1981,['Horror'],"$17,985,893","$1,000,000","$17,985,893",,6.6,"29,910"
https://www.imdb.com/title/tt0082031/,Arthur,1981,"['Comedy', 'Romance']","$95,461,682","$7,000,000","$95,461,682",,6.9,"25,210"
https://www.imdb.com/title/tt0082846/,On Golden Pond,1981,['Drama'],"$119,285,432",,"$119,285,432",,7.6,"26,789"
https://www.imdb.com/title/tt0083169/,Taps,1981,['Drama'],"$35,856,053","$14,000,000","$35,856,053",,6.8,"16,183"
https://www.imdb.com/title/tt0082484/,Quest for Fire,1981,"['Adventure', 'Drama', 'History']","$20,959,585","$12,500,000","$20,962,615",,7.3,"20,157"
https://www.imdb.com/title/tt0082288/,Dragonslayer,1981,"['Action', 'Adventure', 'Fantasy']","$14,110,013","$18,000,000","$14,110,013",,6.7,"14,545"
https://www.imdb.com/title/tt0082431/,Galaxy of Terror,1981,"['Action', 'Adventure', 'Horror', 'Sci-Fi']",,"$700,000",,,5.1,"6,440"
https://www.imdb.com/title/tt0083190/,Thief,1981,"['Action', 'Crime', 'Drama', 'Thriller']","$11,492,915","$5,500,000","$11,492,915",,7.4,"23,929"
https://www.imdb.com/title/tt0083284/,Victory,1981,"['Drama', 'Sport', 'War']","$10,853,418","$10,000,000","$10,853,418",,6.7,"26,801"
https://www.imdb.com/title/tt0082934/,The Postman Always Rings Twice,1981,"['Crime', 'Drama', 'Romance', 'Thriller']","$12,376,625","$12,000,000","$12,376,625",,6.6,"20,952"
https://www.imdb.com/title/tt0082979/,Reds,1981,"['Biography', 'Drama', 'History', 'Romance']","$40,382,659","$32,000,000","$40,382,659",,7.3,"20,173"
https://www.imdb.com/title/tt0082640/,Lady Chatterley's Lover,1981,"['Drama', 'Romance']",,,,,5.1,"2,364"
https://www.imdb.com/title/tt0082817/,Nighthawks,1981,"['Action', 'Crime', 'Thriller']","$14,905,359","$5,000,000","$19,905,359",,6.4,"16,793"
https://www.imdb.com/title/tt0082700/,Cannibal Ferox,1981,"['Adventure', 'Horror']",,,,,5.2,"8,789"
https://www.imdb.com/title/tt0083111/,Southern Comfort,1981,"['Action', 'Thriller']","$5,000,000",,,,7.2,"15,768"
https://www.imdb.com/title/tt0082432/,Gallipoli,1981,"['Adventure', 'Drama', 'History', 'War']","$5,732,587","AUD2,600,000","$5,732,587",,7.4,"35,848"
https://www.imdb.com/title/tt0082948/,Private Lessons,1981,['Comedy'],"$26,279,000","$2,800,000","$26,279,000",,5.2,"3,223"
https://www.imdb.com/title/tt0083170/,Tarzan the Ape Man,1981,"['Adventure', 'Drama']","$36,565,280","$6,500,000","$36,565,280",,3.4,"5,076"
https://www.imdb.com/title/tt0082970/,Ragtime,1981,['Drama'],"$14,920,781",,"$14,920,781",,7.3,"8,537"
https://www.imdb.com/title/tt0082782/,My Bloody Valentine,1981,"['Horror', 'Mystery', 'Thriller']","$5,672,031","CAD2,300,000","$5,672,031",,6.3,"17,012"
https://www.imdb.com/title/tt0082869/,Outland,1981,"['Action', 'Crime', 'Sci-Fi', 'Thriller', 'Western']","$17,374,595","$16,000,000","$17,374,595",,6.6,"26,274"
https://www.imdb.com/title/tt0082377/,The Final Conflict,1981,['Horror'],"$20,471,382","$5,000,000","$20,471,382",,5.6,"17,948"
https://www.imdb.com/title/tt0082449/,Ghost Story,1981,"['Drama', 'Horror', 'Thriller']","$23,371,905",,"$23,371,905",,6.3,"7,334"
https://www.imdb.com/title/tt0082910/,Piranha II: The Spawning,1981,"['Drama', 'Horror', 'Romance', 'Sci-Fi', 'Thriller']",,"$145,786",,,3.7,"7,473"
https://www.imdb.com/title/tt0084445/,One from the Heart,1981,"['Drama', 'Musical', 'Romance']","$636,796","$26,000,000","$636,796",,6.5,"5,092"
https://www.imdb.com/title/tt0082307/,The Beyond,1981,['Horror'],"$123,843","$400,000","$123,843",,6.8,"19,395"
https://www.imdb.com/title/tt0082474/,The Great Muppet Caper,1981,"['Adventure', 'Comedy', 'Crime', 'Family', 'Musical', 'Mystery']","$31,206,251",,"$31,206,251",,7.2,"13,198"
https://www.imdb.com/title/tt0082416/,The French Lieutenant's Woman,1981,"['Drama', 'Romance']","$26,890,068",,"$26,890,068",,7.0,"11,699"
https://www.imdb.com/title/tt0082776/,Ms .45,1981,"['Crime', 'Drama', 'Thriller']",,"$62,000",,,6.8,"8,202"
https://www.imdb.com/title/tt0082511/,Hell Night,1981,"['Horror', 'Thriller']",,,,,5.8,"5,915"
https://www.imdb.com/title/tt0083015/,S.O.B.,1981,"['Comedy', 'Drama']","$14,867,086",,"$14,867,086",,6.4,"5,296"
https://www.imdb.com/title/tt0082427/,The Funhouse,1981,['Horror'],"$7,886,857",,"$7,886,857",,5.9,"11,785"
https://www.imdb.com/title/tt0082351/,Eye of the Needle,1981,"['Romance', 'Thriller', 'War']","$17,583,634",,"$17,583,634",,7.1,"9,245"
https://www.imdb.com/title/tt0083189/,They All Laughed,1981,"['Comedy', 'Romance']",,"$8,600,000",,,6.4,"2,189"
https://www.imdb.com/title/tt0082176/,Christiane F.,1981,"['Biography', 'Drama']",,"DEM4,000,000",,,7.6,"20,942"
https://www.imdb.com/title/tt0082146/,Caveman,1981,"['Comedy', 'Romance']","$15,965,924",,"$15,965,924",,5.8,"6,883"
https://www.imdb.com/title/tt0082622/,Knightriders,1981,"['Action', 'Drama']",,"$3,000,000",,,6.3,"4,246"
https://www.imdb.com/title/tt0082498/,Happy Birthday to Me,1981,"['Horror', 'Mystery', 'Thriller']",,"CAD3,500,000",,,6.1,"7,948"
https://www.imdb.com/title/tt0082945/,Prince of the City,1981,"['Crime', 'Drama']","$8,124,257","$8,600,000","$8,124,257",,7.5,"6,974"
https://www.imdb.com/title/tt0083033/,Saturday the 14th,1981,"['Comedy', 'Fantasy', 'Horror', 'Sci-Fi']",,,,,4.7,"3,434"
https://www.imdb.com/title/tt0083064/,Sharky's Machine,1981,"['Action', 'Crime', 'Drama', 'Thriller']","$35,610,100",,"$35,610,100",,6.4,"5,258"
https://www.imdb.com/title/tt0083001/,Roar,1981,"['Adventure', 'Comedy', 'Thriller']","$110,048","$17,000,000","$110,048",,6.2,"2,938"
https://www.imdb.com/title/tt0082245/,Deadly Blessing,1981,"['Horror', 'Thriller']","$8,279,042","$2,500,000","$8,279,042",,5.6,"4,731"
https://www.imdb.com/title/tt0082951/,The Prowler,1981,"['Horror', 'Mystery', 'Thriller']",,"$1,000,000",,,6.1,"9,029"
https://www.imdb.com/title/tt0082677/,Looker,1981,"['Drama', 'Sci-Fi', 'Thriller']",,"$8,000,000",,,6.1,"4,585"
https://www.imdb.com/title/tt0082696/,Madman,1981,"['Horror', 'Thriller']",,,,,5.3,"4,825"
https://www.imdb.com/title/tt0082242/,Dead & Buried,1981,"['Horror', 'Mystery']",,"$3,000,000",,,6.6,"9,464"
https://www.imdb.com/title/tt0083232/,True Confessions,1981,"['Crime', 'Drama']","$12,850,276","$10,000,000","$12,850,276",,6.3,"7,024"
https://www.imdb.com/title/tt0083336/,Wolfen,1981,"['Horror', 'Thriller']","$10,626,725","$17,000,000","$10,626,725",,6.3,"8,759"
https://www.imdb.com/title/tt0084133/,The Incubus,1981,"['Horror', 'Thriller']",,"CAD5,100,000",,,5.5,"2,027"
https://www.imdb.com/title/tt0082592/,Just Before Dawn,1981,"['Horror', 'Thriller']",,,,,6.2,"4,916"
https://www.imdb.com/title/tt0082558/,The Incredible Shrinking Woman,1981,"['Comedy', 'Sci-Fi']","$20,259,961",,"$20,259,961",,5.5,"4,286"
https://www.imdb.com/title/tt0082220/,Cutter's Way,1981,"['Crime', 'Drama', 'Mystery', 'Thriller']","$1,729,274","$3,000,000","$1,752,634",,6.9,"4,862"
https://www.imdb.com/title/tt0082138/,Carbon Copy,1981,"['Comedy', 'Drama']","$9,566,593","$6,000,000","$9,566,593",,5.7,"2,444"
https://www.imdb.com/title/tt0082949/,The Professional,1981,"['Action', 'Crime', 'Drama', 'Thriller']",,"FRF20,000,000",,,7.6,"12,526"
https://www.imdb.com/title/tt0083366/,Zorro: The Gay Blade,1981,"['Action', 'Adventure', 'Comedy', 'Romance', 'Western']","$11,118,000",,,,6.3,"3,948"
https://www.imdb.com/title/tt0082966/,The House by the Cemetery,1981,['Horror'],,,,,6.2,"12,072"
https://www.imdb.com/title/tt0082199/,Condorman,1981,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Romance']",,,,,5.7,"4,415"
https://www.imdb.com/title/tt0085872/,The Loveless,1981,['Drama'],,,,,6.1,"1,540"
https://www.imdb.com/title/tt0082801/,Neighbors,1981,['Comedy'],"$29,916,207","$8,500,000","$29,916,207",,5.6,"7,244"
https://www.imdb.com/title/tt0082084/,Bloody Birthday,1981,"['Horror', 'Thriller']",,,,,5.7,"4,028"
https://www.imdb.com/title/tt0081974/,Absence of Malice,1981,"['Drama', 'Romance', 'Thriller']","$40,716,963","$12,000,000","$40,716,963",,6.9,"11,553"
https://www.imdb.com/title/tt0082269/,Diva,1981,['Thriller'],"$110,014",,"$110,014",,7.2,"11,550"
https://www.imdb.com/title/tt0081677/,The Last Shark,1981,['Horror'],,,,,4.3,"2,216"
https://www.imdb.com/title/tt0285503/,Dan Oniroku: Onna kyôshi nawa jigoku,1981,['Drama'],,,,,5.7,76
https://www.imdb.com/title/tt0082467/,Graduation Day,1981,"['Horror', 'Mystery', 'Thriller']",,"$250,000",,,4.8,"3,314"
https://www.imdb.com/title/tt0083099/,So Fine,1981,['Comedy'],,,,,5.1,991
https://www.imdb.com/title/tt0082405/,The Four Seasons,1981,"['Comedy', 'Drama']","$50,427,646",,"$50,427,646",,6.9,"3,855"
https://www.imdb.com/title/tt0083067/,Shock Treatment,1981,"['Comedy', 'Musical']",,"$3,500,000",,,5.8,"4,402"
https://www.imdb.com/title/tt0083133/,Student Bodies,1981,"['Comedy', 'Horror', 'Mystery']","$5,165,432",,"$5,165,432",,5.6,"4,251"
https://www.imdb.com/title/tt0082268/,La disubbidienza,1981,['Drama'],,,,,5.7,145
https://www.imdb.com/title/tt0082912/,Pixote,1981,"['Crime', 'Drama']",,,,,8.0,"6,445"
https://www.imdb.com/title/tt0082894/,Pennies from Heaven,1981,"['Drama', 'Musical', 'Romance']","$9,171,289","$22,000,000","$9,171,289",,6.5,"5,090"
https://www.imdb.com/title/tt0082350/,An Eye for an Eye,1981,"['Action', 'Adventure', 'Crime', 'Thriller']",,"$3,800,000",,,5.6,"3,457"
https://www.imdb.com/title/tt0084090/,Inseminoid,1981,"['Horror', 'Sci-Fi']",,"$2,000,000",,,3.9,"2,769"
https://www.imdb.com/title/tt0082402/,Fort Apache the Bronx,1981,"['Crime', 'Drama']","$29,200,000",,"$29,200,000",,6.7,"5,494"
https://www.imdb.com/title/tt0081248/,Burial Ground: The Nights of Terror,1981,['Horror'],,,,,5.7,"4,954"
https://www.imdb.com/title/tt0082247/,Death Hunt,1981,"['Action', 'Adventure', 'Crime', 'Thriller', 'Western']",,"$10,000,000",,,7.0,"6,594"
https://www.imdb.com/title/tt0082121/,Bustin' Loose,1981,"['Comedy', 'Drama']","$31,261,269",,"$31,261,269",,6.1,"2,703"
https://www.imdb.com/title/tt0083254/,Under the Rainbow,1981,['Comedy'],"$18,826,490","$20,000,000","$18,826,490",,5.5,"2,510"
https://www.imdb.com/title/tt0083000/,Road Games,1981,"['Horror', 'Mystery', 'Thriller']",,"AUD1,800,000",,,6.6,"4,901"
https://www.imdb.com/title/tt0082332/,Enter the Ninja,1981,"['Action', 'Crime', 'Drama', 'Thriller']",,"$1,500,000",,,5.3,"4,025"
https://www.imdb.com/title/tt0082527/,X-Ray,1981,"['Horror', 'Thriller']",,,,,5.1,"1,947"
https://www.imdb.com/title/tt0082671/,Lola,1981,"['Drama', 'Romance']","$8,144","DEM3,500,000","$8,144",,7.5,"4,957"
https://www.imdb.com/title/tt0082818/,Nightmare,1981,['Horror'],,,,,5.7,"3,235"
https://www.imdb.com/title/tt0082926/,Polyester,1981,['Comedy'],,"$300,000",,,7.1,"6,874"
https://www.imdb.com/title/tt0082816/,The Night the Lights Went Out in Georgia,1981,"['Drama', 'Music']","$14,923,752",,"$14,923,752",,6.0,848
